fmin,alg,n_iterations,run_time,converged,Start_guess
147.5439651709008,Optim_IPNewton,55,2.3025310039520264,true,1
147.54396517090126,Optim_IPNewton,60,2.5046000480651855,true,2
194.27264474371654,Optim_IPNewton,42,1.8645961284637451,true,3
164.42567076017284,Optim_IPNewton,70,3.4439098834991455,true,4
149.58782928148236,Optim_IPNewton,59,4.19351601600647,true,5
149.58782928187685,Optim_IPNewton,91,5.59840202331543,true,6
149.58782928149225,Optim_IPNewton,48,3.3820550441741943,true,7
147.5439651709012,Optim_IPNewton,58,1.9996819496154785,true,8
149.51883868391621,Optim_IPNewton,59,2.9822909832000732,true,9
158.8098381302301,Optim_IPNewton,62,2.2742559909820557,true,10
