fmin,alg,n_iterations,run_time,converged,Start_guess
149.5878292818372,Optim_IPNewton,38,3.60296893119812,true,1
147.54396517123885,Optim_IPNewton,53,2.8527779579162598,true,2
182.5190307943982,Optim_IPNewton,37,1.5666718482971191,true,3
138.2220143060298,Optim_IPNewton,70,3.4381189346313477,true,4
171.1340770914969,Optim_IPNewton,55,3.087350845336914,true,5
145.75941183620995,Optim_IPNewton,65,2.3248159885406494,true,6
149.58782928148767,Optim_IPNewton,55,4.673990964889526,true,7
171.13407709145048,Optim_IPNewton,61,3.3457319736480713,true,8
138.22197600824657,Optim_IPNewton,39,2.935600996017456,true,9
145.75941183620986,Optim_IPNewton,59,2.7618000507354736,true,10
145.75941183620995,Optim_IPNewton,68,2.1637771129608154,true,11
147.54396517089998,Optim_IPNewton,65,2.2544069290161133,true,12
147.54396517089862,Optim_IPNewton,75,2.8353688716888428,true,13
158.80983813022993,Optim_IPNewton,84,3.6754651069641113,true,14
138.22197600241324,Optim_IPNewton,63,3.221585988998413,true,15
