log10_c1,log10_c2,log10_S0,log10_sigma,startguess
0.03998635213865331,1.0095798148840534,1.9973576343143749,-0.06688370805943643,1
0.03998709527513576,1.0095806285715527,1.9973576347370796,-0.0668837033866893,2
0.03998730545380861,1.0095808557279704,1.9973576348386421,-0.06688370143297068,3
0.03998716194277579,1.0095807010088098,1.9973576347715591,-0.06688370282459373,4
0.039987111303920284,1.0095806463518227,1.9973576347475468,-0.06688370331789953,5
0.03998699105228743,1.009580516183907,1.9973576346882513,-0.066883704408733,6
0.0399872961772712,1.009580847769934,1.9973576348452582,-0.0668837017549435,7
0.03998702536971179,1.0095805538014693,1.9973576347079007,-0.06688370414884359,8
0.03998703418239661,1.0095805626942636,1.997357634708351,-0.06688370393784214,9
0.039987014745659064,1.0095805394997193,1.9973576346858528,-0.06688370370318636,10
0.0399872189893632,1.0095807624574278,1.9973576347979336,-0.06688370227357827,11
0.039987126192638354,1.0095806625485018,1.9973576347552857,-0.06688370316533793,13
0.039986998142047286,1.009580520503532,1.9973576346703565,-0.06688370355435695,12
0.03998708897866912,1.0095806211745444,1.9973576347304327,-0.06688370330867684,14
0.03998712609687399,1.009580661734763,1.9973576347509674,-0.06688370302485433,15
0.03998721733730424,1.0095807606987413,1.9973576347972841,-0.0668837022889165,16
0.039987148670896526,1.009580686796954,1.9973576347658861,-0.06688370295218189,17
0.03998691601666475,1.0095804320379023,1.9973576346336173,-0.06688370448125873,18
0.04016612614619379,1.0097802471386688,1.9973577536616702,-0.06688360525050546,19
0.0399872588560661,1.0095808054829682,1.997357634816807,-0.0668837018806379,20
0.039987189532059396,1.0095807306981053,1.9973576347841582,-0.06688370255921197,21
0.03998720265017569,1.0095807448501901,1.9973576347903266,-0.06688370242536823,23
0.039986947506504104,1.0095804662540218,1.9973576346497988,-0.06688370417201762,22
0.03998720348442414,1.0095807456924695,1.9973576347904183,-0.06688370242555812,24
0.03998527794055107,1.009578638157556,1.9973576337003482,-0.06688371481617691,25
0.039987060990758154,1.0095805918791807,1.9973576347226534,-0.06688370376340289,26
0.03998710150018299,1.0095806356579147,1.9973576347422815,-0.06688370341693128,27
0.03998721145125359,1.009580754219997,1.9973576347937765,-0.06688370233896723,29
0.03998596794092646,1.009579393593934,1.9973576340921966,-0.06688371038236315,28
0.039987136146555934,1.0095806732084645,1.9973576347595572,-0.06688370307337385,30
0.03998718726140327,1.0095807279623499,1.9973576347813444,-0.06688370251467854,31
0.03998706940510174,1.009580601076506,1.9973576347273894,-0.06688370372732222,32
0.03998709917432182,1.0095806333010366,1.9973576347420192,-0.06688370343465272,33
0.03998675733132923,1.0095802570328491,1.9973576345357946,-0.06688370522334885,34
0.03997702159026598,1.0095698542462541,1.997357632446698,-0.06687979464124048,35
0.03998456880948414,1.0095778600892533,1.9973576332828022,-0.06688371975255013,36
0.039972637625739785,1.0095647867531774,1.9973576264448083,-0.06688379318693263,37
0.03998712362822557,1.0095806597171995,1.9973576347537296,-0.06688370319385499,38
0.03998703462793193,1.0095805632517842,1.9973576347092996,-0.06688370407007324,39
0.039974000132063765,1.0095662809815282,1.9973576272353062,-0.06688378489602416,41
0.039973788068887385,1.0095660472477532,1.9973576270743514,-0.06688378838373481,40
0.03998740949812709,1.009580971552475,1.997357634906319,-0.06688370148756013,42
0.039987306254114396,1.0095808565836748,1.9973576348390114,-0.06688370152992752,43
0.03998706138149921,1.0095805924904153,1.9973576347239894,-0.06688370380310621,44
0.03998703605493433,1.009580565174532,1.997357634712064,-0.06688370403789476,45
0.039987222391982026,1.0095807660939675,1.997357634799348,-0.06688370223968355,46
0.03998697946921536,1.0095805009238978,1.9973576346661004,-0.06688370394127646,47
0.03998720825308028,1.0095807509835049,1.997357634793468,-0.06688370237529391,48
0.039987234850443226,1.0095807795788483,1.9973576348054578,-0.0668837021148288,49
0.039987107532458765,1.009580642143188,1.9973576347450022,-0.06688370335942115,50
